X,user_id,datetime,inv_num,store_name,store_address,item_name,unit_price,quantity,amount,donation_status,item_tag,item_brand_name,store_brand_name,county,city_area,segment
27591063,f419b8aa363090fb09afb8971f2a6fb8fbf7f13d865cdaad1109159c975c5aed,2020-07-20 12:14:06,373d27e28946b492434174091779a7044fc53c49056679c69c0645538cefe1a3,統一超商股份有限公司台中市第五八一分公司,台中市西屯區河南路二段443號,迪士尼盛夏運動趣點數,0,1,0,FALSE,優惠活動/折扣/集點,nan,統一超商_7Eleven,臺中市,西屯區,Lost
85203373,e19d7da48b48d2d3c19bdcbf4785de64660d5624f2078c576098315dc772c04e,2021-09-30 11:20:34,91ba10a4fb950957d659d76a10f4a415cb5a3453a71484197a47b230fc8fc944,全聯實業股份有限公司龜山萬壽分公司,桃園市龜山區中和南路;40.42號,高大鮮乳,97,1,97,FALSE,鮮奶,nan,全聯福利中心_Pxmart,桃園市,龜山區,Champions
77308908,5b39d7f7a6123f043fa4adfc758c729ecd8bc43ba33c9a886170114303f1bb02,2021-11-14 17:15:00,1a6a56c8c0ab83abf7af4b61c70dd67298126a8d04fed7250b8f68255453b237,和德昌股份有限公司台北復興二分公司,台北市大安區復興南路二段273號,$2塑膠袋,2,1,2,FALSE,包裝/提袋/清潔袋,nan,麥當勞_Mcdonalds,臺北市,中正區,Low Spenders
94236345,ac565a743b393219d8a390a1102e57a318e0a9d211e9c7ee3537afaae255b4a2,2021-04-08 16:15:15,8dc6c90637c6db70e63d3c6a524a39ba7599883e4b2fabc5f2bcb68039bf45b4,全聯實業股份有限公司關西北平分公司,新竹縣關西鎮北平路;463、465號,鮮採黑木耳(素),36,1,36,FALSE,生鮮蔬菜,nan,全聯福利中心_Pxmart,新竹縣,關西鎮,Loyal Accounts
65458663,793e9c86bc7686568b6ad081acb9d1cbe2d220894e66708b32fa1c2fa574bbb9,2021-06-08 09:29:56,071c3821bc8557e9cbaa2f39268e37becab5d36bf436f22f390c57bfe76a50a7,統一超商股份有限公司新北市第一一四五分公司,新北市樹林區復興路227號1樓,美式熱咖啡(大),45,1,45,FALSE,現沖咖啡,nan,統一超商_7Eleven,新北市,中和區,Loyal Accounts
27300034,46e7e75421e6a79d7533d1c529f0f32d1b17ed7d5750bd94375f3515361a9259,2020-04-18 21:01:37,daa3f5d40f3765096364edef424a5bf1ce06612bd954a521f5bc8dc3981af8a7,統一超商股份有限公司新北市第五一二分公司,新北市蘆洲區永安南路二段356號環堤大道2號6號,Fissler點數,0,1,0,FALSE,優惠活動/折扣/集點,nan,統一超商_7Eleven,新北市,新莊區,Lost
68966801,00aeaee27615f825d0b9e95de32334e5e90a715201a6c925252e2872a2bd03a9,2021-04-11 20:00:43,59ff00f2eee29ab56553f1e8f8aa69cdb525867ab26a11bc30b8bc17a0e48e0a,台灣上都餐飲股份有限公司中壢門市部,桃園市中壢區中山東路二段510號1樓,(飽)龍蝦沙拉球,0,1,0,FALSE,沙拉,nan,nan,桃園市,中壢區,Low Spenders
64986290,c8baddb8f84d88f87b3a5b3faa9d5e2bb706d7451215b846e51ec9d82b7b4590,2021-07-13 18:33:17,31b22e05972499ccfdb64b73fad1302ec2ac6a129923810681595494c06fd1b2,悠旅生活事業股份有限公司舊宗門市部,nan,巧泡芙星冰樂V,185,1,185,FALSE,麵包/漢堡/蛋糕,nan,星巴克_Starbucks,臺北市,信義區,Champions
41693454,664f390ba59b250ee5d6a5d851e51cd240cacedad493d84d7d51d9f2b54c0c4d,2020-01-05 05:15:36,e8d6fbe0d432d83c5a438ea8831109e1223fa09dec920df196d9b22f2a2c0503,統一超商股份有限公司桃園市第七二三分公司,桃園市桃園區同德十一街98號100號,御選肉鬆飯糰,28,1,28,FALSE,壽司/飯糰,nan,統一超商_7Eleven,桃園市,桃園區,Lost
88565292,0b91377df5aaafbe69517ed9c48da2d804a2a250da1bbce0406f64a5e5dd2dae,2021-11-29 11:59:04,bf3a652e761f6d542270744c9a6da2b001cf1c2830df661fb988c799ef901b8c,圖萌思實業有限公司,40861臺中市南屯區公益路二段６１號１５樓,2angels矽膠副食品儲存系列 豪華組[15ml+60ml+120ml],1080,1,1080,FALSE,影印/傳真費,nan,nan,新北市,板橋區,Promising
102307037,25fa503cc006c9eefeb5c7466cc346e33f974ce2ac41dba0e1b9a429f1b872d3,2021-02-07 19:16:29,bee9116f7c5d39925007b8fc6d89a9b46854b8970778dfce31d17efe1b570e78,全家便利商店股份有限公司台中市第五二六分公司,台中市北屯區河北路二段９８號,茶葉蛋（銷售用）,10,1,10,FALSE,茶葉蛋,nan,全家便利商店_Familymart,新北市,板橋區,Low Spenders
39525986,f2d195bc1bb9abc1b1b40897a89622d1cf78b712523f05ed6445b15d1001dac9,2020-12-20 18:32:56,69cdd54bbded3b5f16f73e2c49e4797ec2019f707e114c8b5f34b97e1a2d32b7,爭鮮股份有限公司新竹外門市部,新竹市東區中華路2段445號,單顆壽司,10,1,10,FALSE,壽司/飯糰,nan,定食8_Teishoku8,新北市,新莊區,Low Spenders
78292616,36654ca0c2224ef2330165cfdb4ef565ab8d60e0d3969f3c1f1337ff74687adc,2021-02-25 22:38:38,ff483435760ebd878ccf32eebb0ceac63d420be79af98b4d7119f618438d49cf,全家便利商店股份有限公司竹山前山分公司,南投縣竹山鎮大明路４６１號,樂事香蒜奶油洋芋片,30,1,30,FALSE,洋芋類零食,nan,全家便利商店_Familymart,南投縣,竹山鎮,Low Spenders
4188756,7fa45b158667ec573ab9488e3469320e8a54b5ed36b8a9ba6aef181c549da33e,2020-07-26 16:43:50,b91ab034dfbb7a1506b07c6613819f51009b72efcc527a17b0c19d20bf26a42b,全家便利商店股份有限公司台中市第五九九分公司,台中市大甲區信義路３０８號,台鐵吉祥卡,29,1,29,FALSE,卡片,nan,全家便利商店_Familymart,臺中市,大甲區,Lost
27077342,ab6ef451637fcbd02a70dc4d43bc09d67ae70db5846c8950b6976ac3b4f791a0,2020-05-05 17:19:13,34a9c89d39168b84e26089f7749baceabbb42ee3ceaf887bcbe8f90e48d0c032,全聯實業股份有限公司龜山興華分公司,桃園市龜山區文化三路316號,光泉100%純,81,1,81,FALSE,鮮奶,nan,全聯福利中心_Pxmart,新北市,林口區,At Risk
95114396,82c1cd99b47379f2218efc4f27a0d8ac9c7436134bd1182124e0bff91bc1d404,2021-09-19 11:47:05,f1dc9781a30b0e0baa89dfba7251d2fdc3fb39836e7c0faf3bad24cbe58173db,統一超商股份有限公司宜蘭縣第一一五分公司,宜蘭縣礁溪鄉玉龍路二段417號,立頓奶茶TP330,15,1,15,FALSE,奶茶,nan,統一超商_7Eleven,桃園市,中壢區,Champions
47247189,97afe8ab7161918b888523aa3eb65701807dd57a720908a6a5097c47539ee228,2020-05-13 12:06:50,63d56bf8fec0faaeb816e8573c163d297cdddd94a1f61ac6bae911367f707aa6,家福股份有限公司新營分公司,臺南市新營區三仙里健康路２５１號,台灣生啤酒18天,228,1,228,FALSE,啤酒,nan,家樂福_Carrefour,臺北市,中山區,At Risk
688733,e38813fd4e40e3db2d5f004bcb518795791472e57d929b61bfd7c1cba386e925,2020-11-03 19:05:04,89420c46de5c610cf4f8a1f7a1e14de5eee747f91e73404f65a2c8abb21fa10b,台亞石油股份有限公司台亞新莊化成路站,新北市新莊區福基里008鄰新北大道2段167號,92無鉛,21.5,3.68,79,FALSE,汽油,nan,台亞石油_Formosaoil,新北市,三重區,At Risk
30744472,8fdb147cd347658ca2770ef6afb25574c3830a353fbd52af37701c35555632a1,2020-08-25 06:44:24,4f2ac6a5a2bde090f9ffead96dd3d50fdc18942ae4d9e9ec0eca084f2640bfcb,來來超商股份有限公司第一二五六分公司,基隆市信義區東峰街24號一樓,光泉全脂鮮乳290ml,36,1,36,FALSE,鮮奶,nan,ok超商_Okmart,基隆市,信義區,Champions
40135031,d7188e4dcd949d9823f7c45bfdc6a2b02ecb332b89882899278f015e6246a580,2020-07-19 10:00:15,6b0fa6f688162fee5f79a16b171e3d6e9a8dedd105a35ab74ebd04ddd5eeef6a,統一超商股份有限公司新北市第一0八四分公司,新北市中和區景平路149號1樓,CityCafe大杯以上第2杯7折*0HBM*,-17,1,-17,FALSE,現沖咖啡,nan,統一超商_7Eleven,新北市,中和區,Lost
66071602,a4e180b37f26967191d4e683a80a5b647dfe12647b9bb95b12732924b296402b,2021-02-01 23:59:59,bb9af21317d0a079776bb48fd4a67272d4af9a34bccd23c4a798581edbc79a53,富邦媒體科技股份有限公司,台北市內湖區洲子街96號4樓,【快車肉乾】特厚蜜汁豬肉乾-蜜汁/黑胡椒/麻辣鍋(220g/包),250,1,250,FALSE,肉乾,nan,富邦媒體科技_Momo,臺北市,信義區,Loyal Accounts
89278797,fe075535cf7b384f27f5b4fdb2bd1e5b269b0d84033196477622b446f79a1362,2021-03-31 19:03:02,58d7566141ffebc9c88abe0440bbcc0885e8c6dca99b9a03974e200b25496571,全聯實業股份有限公司內湖康樂分公司,臺北市內湖區康樂街;116號B1,美國霜降火鍋片,150,1,150,FALSE,生牛肉,nan,全聯福利中心_Pxmart,臺北市,內湖區,Loyal Accounts
60788841,0cf02fa7c05ab808a71a696ca7367b1d978f66fff76061304e743ac886bcc69f,2021-12-16 16:26:00,895fbb246139d35d99bd235a91c77a8bdb380b779fc50cdcfc6c0eaa26889a62,寶雅國際股份有限公司淡水中山分公司,nan,廣濟堂蠶豆酥(養生)350g,95,1,95,FALSE,堅果類零食,nan,寶雅_Poya,新北市,淡水區,Promising
66065255,b562f5b17c379d3a7d1e116388d69c1dbf76aab86329e62caa747a742e49f072,2021-09-15 09:38:38,f0022aa096389f343a19b46cb570b298f4830a108e95211e120bc5292d9b5354,三商家購股份有限公司雙溪中華分公司,新北市雙溪區中華路102-2號,狀元黑豆醬油300ml,79,1,79,FALSE,醬油/油膏,nan,美廉社_Simplemart,基隆市,安樂區,Champions
16431491,0e74171c453ce4426b5ed3b15e367ed31389272b55a79ff2306cf9f874720f77,2020-11-12 14:21:58,270187b7fb8ac899fa92240378967ff2073abe02d8d1e54bf24d439be12c25c9,悠旅生活事業股份有限公司宜蘭縣第三分公司,nan,蘋果社群BAF,-160,1,-160,FALSE,優惠活動/折扣/集點,nan,星巴克_Starbucks,臺北市,中山區,About to Sleep
11343768,09d46450b6645382c8fe61f8ba71a84afd8081079cfe5d53e2500880f5b34b9a,2020-12-12 00:12:00,16803fea3ab8511f8efa9d0054d942cb7b9a51c10bb90c2809898858d6cbad50,加州椰子國際股份有限公司,台北市中山區新生北路3段19巷26號1樓,防水野戰機能外套,717,1,717,FALSE,外套,nan,nan,新北市,三重區,Need Attention
64526406,aff5c6b62dfebbe73f6b686755e2b5aa1d6270bd394575c2bf9eeb57ac79e303,2021-11-12 08:08:00,aa5e3d72e9feb220edb9329f3f780bef515ac9e35adb39677d6bad1f55f43a1a,萊爾富國際股份有限公司第三七六七營業處,新北市土城區青雲路380巷1號,香芋麵包,26,1,26,FALSE,麵包/漢堡/蛋糕,nan,萊爾富便利商店_Hilife,新北市,土城區,Low Spenders
